timeStart,timeEnd,maxOccupants,firstOccuranceTime
2022-07-05 00:00:00,2022-07-05 00:59:59,0,
2022-07-05 01:00:00,2022-07-05 01:59:59,0,
2022-07-05 02:00:00,2022-07-05 02:59:59,0,
2022-07-05 03:00:00,2022-07-05 03:59:59,0,
2022-07-05 04:00:00,2022-07-05 04:59:59,0,
2022-07-05 05:00:00,2022-07-05 05:59:59,0,
2022-07-05 06:00:00,2022-07-05 06:59:59,0,
2022-07-05 07:00:00,2022-07-05 07:59:59,0,
2022-07-05 08:00:00,2022-07-05 08:59:59,0,
2022-07-05 09:00:00,2022-07-05 09:59:59,0,
2022-07-05 10:00:00,2022-07-05 10:59:59,0,
2022-07-05 11:00:00,2022-07-05 11:59:59,5,2022-07-05 11:15:20
2022-07-05 12:00:00,2022-07-05 12:59:59,6,2022-07-05 12:53:11
2022-07-05 13:00:00,2022-07-05 13:59:59,6,2022-07-05 13:01:26
2022-07-05 14:00:00,2022-07-05 14:59:59,6,2022-07-05 14:00:01
2022-07-05 15:00:00,2022-07-05 15:59:59,6,2022-07-05 15:55:07
2022-07-05 16:00:00,2022-07-05 16:59:59,14,2022-07-05 16:09:22
2022-07-05 17:00:00,2022-07-05 17:59:59,8,2022-07-05 17:17:32
2022-07-05 18:00:00,2022-07-05 18:59:59,9,2022-07-05 18:58:05
2022-07-05 19:00:00,2022-07-05 19:59:59,7,2022-07-05 19:08:45
2022-07-05 20:00:00,2022-07-05 20:59:59,9,2022-07-05 20:20:45
2022-07-05 21:00:00,2022-07-05 21:59:59,0,
2022-07-05 22:00:00,2022-07-05 22:59:59,0,
2022-07-05 23:00:00,2022-07-05 23:59:59,0,
