occupants,timeStart,timeEnd,duration
0,2022-07-05 00:00:00,2022-07-05 11:00:24,39625
1,2022-07-05 11:00:25,2022-07-05 11:00:32,8
2,2022-07-05 11:00:33,2022-07-05 11:00:33,1
1,2022-07-05 11:00:34,2022-07-05 11:01:49,76
0,2022-07-05 11:01:50,2022-07-05 11:02:33,44
1,2022-07-05 11:02:34,2022-07-05 11:02:44,11
0,2022-07-05 11:02:45,2022-07-05 11:03:02,18
1,2022-07-05 11:03:03,2022-07-05 11:03:09,7
0,2022-07-05 11:03:10,2022-07-05 11:03:18,9
1,2022-07-05 11:03:19,2022-07-05 11:03:46,28
2,2022-07-05 11:03:47,2022-07-05 11:04:34,48
3,2022-07-05 11:04:35,2022-07-05 11:04:44,10
4,2022-07-05 11:04:45,2022-07-05 11:04:52,8
3,2022-07-05 11:04:53,2022-07-05 11:05:21,29
2,2022-07-05 11:05:22,2022-07-05 11:05:23,2
1,2022-07-05 11:05:24,2022-07-05 11:06:11,48
0,2022-07-05 11:06:12,2022-07-05 11:09:08,177
1,2022-07-05 11:09:09,2022-07-05 11:09:10,2
0,2022-07-05 11:09:11,2022-07-05 11:09:38,28
1,2022-07-05 11:09:39,2022-07-05 11:10:00,22
0,2022-07-05 11:10:01,2022-07-05 11:10:23,23
1,2022-07-05 11:10:24,2022-07-05 11:10:30,7
2,2022-07-05 11:10:31,2022-07-05 11:14:53,263
3,2022-07-05 11:14:54,2022-07-05 11:15:14,21
4,2022-07-05 11:15:15,2022-07-05 11:15:19,5
5,2022-07-05 11:15:20,2022-07-05 11:16:11,52
4,2022-07-05 11:16:12,2022-07-05 11:16:55,44
3,2022-07-05 11:16:56,2022-07-05 11:17:01,6
2,2022-07-05 11:17:02,2022-07-05 11:18:12,71
3,2022-07-05 11:18:13,2022-07-05 11:19:32,80
2,2022-07-05 11:19:33,2022-07-05 11:19:33,1
3,2022-07-05 11:19:34,2022-07-05 11:19:49,16
4,2022-07-05 11:19:50,2022-07-05 11:19:58,9
3,2022-07-05 11:19:59,2022-07-05 11:22:19,141
2,2022-07-05 11:22:20,2022-07-05 11:23:43,84
1,2022-07-05 11:23:44,2022-07-05 11:23:45,2
2,2022-07-05 11:23:46,2022-07-05 11:23:48,3
3,2022-07-05 11:23:49,2022-07-05 11:23:59,11
4,2022-07-05 11:24:00,2022-07-05 11:24:05,6
3,2022-07-05 11:24:06,2022-07-05 11:25:02,57
2,2022-07-05 11:25:03,2022-07-05 11:25:17,15
3,2022-07-05 11:25:18,2022-07-05 11:26:12,55
2,2022-07-05 11:26:13,2022-07-05 11:27:23,71
1,2022-07-05 11:27:24,2022-07-05 11:27:24,1
0,2022-07-05 11:27:25,2022-07-05 11:31:42,258
1,2022-07-05 11:31:43,2022-07-05 11:32:43,61
