occupants,timeStart,timeEnd,duration
0,2022-07-05 11:00:25,2022-07-05 22:00:50,39625
1,2022-07-05 11:01:50,2022-07-05 11:03:15,85
0,2022-07-05 11:03:03,2022-07-05 11:04:16,73
1,2022-07-05 11:03:10,2022-07-05 11:03:17,7
0,2022-07-05 11:03:19,2022-07-05 11:03:28,9
1,2022-07-05 11:03:47,2022-07-05 11:04:15,28
2,2022-07-05 11:04:35,2022-07-05 11:05:23,48
3,2022-07-05 11:05:22,2022-07-05 11:06:09,47
2,2022-07-05 11:05:24,2022-07-05 11:05:26,2
1,2022-07-05 11:06:12,2022-07-05 11:07:00,48
0,2022-07-05 11:09:39,2022-07-05 11:13:06,207
1,2022-07-05 11:10:01,2022-07-05 11:10:23,22
0,2022-07-05 11:10:24,2022-07-05 11:10:47,23
1,2022-07-05 11:10:31,2022-07-05 11:10:38,7
2,2022-07-05 11:14:54,2022-07-05 11:19:17,263
3,2022-07-05 11:15:15,2022-07-05 11:15:36,21
4,2022-07-05 11:15:20,2022-07-05 11:15:25,5
5,2022-07-05 11:16:12,2022-07-05 11:17:04,52
4,2022-07-05 11:16:56,2022-07-05 11:17:40,44
3,2022-07-05 11:17:02,2022-07-05 11:17:08,6
2,2022-07-05 11:18:13,2022-07-05 11:19:24,71
3,2022-07-05 11:19:33,2022-07-05 11:20:53,80
2,2022-07-05 11:19:50,2022-07-05 11:20:07,17
3,2022-07-05 11:22:20,2022-07-05 11:24:50,150
2,2022-07-05 11:23:44,2022-07-05 11:25:08,84
1,2022-07-05 11:23:46,2022-07-05 11:23:48,2
2,2022-07-05 11:23:49,2022-07-05 11:23:52,3
3,2022-07-05 11:24:00,2022-07-05 11:24:11,11
4,2022-07-05 11:24:06,2022-07-05 11:24:12,6
3,2022-07-05 11:25:03,2022-07-05 11:26:00,57
2,2022-07-05 11:27:24,2022-07-05 11:29:45,141
1,2022-07-05 11:27:25,2022-07-05 11:27:26,1
0,2022-07-05 11:31:43,2022-07-05 11:36:01,258
1,2022-07-05 11:32:44,2022-07-05 11:33:45,61
0,2022-07-05 11:34:19,2022-07-05 11:35:54,95
1,2022-07-05 11:34:20,2022-07-05 11:34:21,1
2,2022-07-05 11:35:19,2022-07-05 11:36:18,59
3,2022-07-05 11:36:12,2022-07-05 11:37:05,53
2,2022-07-05 11:36:15,2022-07-05 11:36:18,3
1,2022-07-05 11:36:16,2022-07-05 11:36:17,1
0,2022-07-05 11:43:33,2022-07-05 11:50:50,437
1,2022-07-05 11:45:20,2022-07-05 11:47:07,107
0,2022-07-05 11:46:51,2022-07-05 11:48:22,91
1,2022-07-05 11:47:40,2022-07-05 11:48:29,49
2,2022-07-05 11:48:22,2022-07-05 11:49:04,42
1,2022-07-05 11:49:28,2022-07-05 11:50:34,66
2,2022-07-05 11:56:12,2022-07-05 12:02:56,404
3,2022-07-05 11:59:27,2022-07-05 12:02:42,195
2,2022-07-05 11:59:56,2022-07-05 12:00:25,29
1,2022-07-05 12:01:25,2022-07-05 12:02:54,89
2,2022-07-05 12:04:24,2022-07-05 12:07:23,179
3,2022-07-05 12:04:51,2022-07-05 12:05:18,27
2,2022-07-05 12:05:14,2022-07-05 12:05:37,23
3,2022-07-05 12:05:28,2022-07-05 12:05:42,14
4,2022-07-05 12:06:03,2022-07-05 12:06:38,35
3,2022-07-05 12:06:43,2022-07-05 12:07:23,40
4,2022-07-05 12:06:56,2022-07-05 12:07:09,13
3,2022-07-05 12:07:34,2022-07-05 12:08:12,38
2,2022-07-05 12:11:01,2022-07-05 12:14:28,207
3,2022-07-05 12:12:05,2022-07-05 12:13:09,64
2,2022-07-05 12:12:37,2022-07-05 12:13:09,32
1,2022-07-05 12:21:21,2022-07-05 12:30:05,524
2,2022-07-05 12:21:29,2022-07-05 12:21:37,8
3,2022-07-05 12:21:56,2022-07-05 12:22:23,27
2,2022-07-05 12:21:58,2022-07-05 12:22:00,2
1,2022-07-05 12:22:01,2022-07-05 12:22:04,3
2,2022-07-05 12:22:03,2022-07-05 12:22:05,2
3,2022-07-05 12:22:51,2022-07-05 12:23:39,48
2,2022-07-05 12:26:00,2022-07-05 12:29:09,189
